包括	comprise
口型动作	lip motion
识别码	identification code
新的用户	new user
打车请求	taxi-booking request
打印图标	print icon
打印区域	printing region
打印点阵图	dot pattern
打印的轨迹	printing trajectory
打印像素	printing pixel
打印指令	print instruction
打印设备	printing device
打印进度	print progress
打印按钮	print button
打印平台	printing platform
打印装置	printing device
打印流程	printing process
打印移动信号	print moving signal
打印喷头	printing nozzle
打印仓门	print bin door
历史信息	historical information
历史数据	historical data
历史运行数据	historical operating data
历史算法	history algorithm
历史算法跟踪	history algorithm tracking
历史订单数据	history order data
但本申请并不限制本实施例范围内	which are not intended to limit the scope of the present disclosure
限位信号	limit signal
限位开关	limit switch
限位装置	limit device
限位保护	limit protection
尤其	in particular
乘客	passengers
乘客终端	passenger terminal
乘客端	passenger terminal
司机	drivers
身份信息	identification vector
身份信息	identity information
身份信息矢量	identification vector
身份标识码	identity code
身份属性	identity attribute
知识图谱	knowledge map
知识库	knowledge library
左转	left-turn
左转待行区	waiting area for left-turn
转动方向信号	rotation direction signa
转接板	adapter plate
移动终端	mobile device
移动端	mobile device
移动端账户	mobile account
移动物体	moving object
移动测试	moving test
群体形象	group character
采用至少两路的复制传输	in an at least two path duplication transmission mode to the base station
采集	collect
采样结果	sampling result
决策模型	decision model
修正	modify
修改后的指甲美化图	modified nail beautification map
正式打印	actual printing
正确性	correctness
正面布局	front layout
正极	positive electrode
权重	weight
权限	authority
权限购买模块	right purchase module
脉搏波信号	pulse wave signal
血小板含量	platelet content
血氧	blood oxygen
血氧饱和度	saturation level of blood oxygen
血压	blood pressure
血液浓度	haemoconcentration
弱灌注	poor perfusion
弱灌注特性	weak perfusion characteristics
族群	groups
频域变换	frequency domain transform
声音信息	voice information
操作	operations
操作图标	operation icon
操作界面	operation interface
ROI区域	ROI
视频识别	video recognition
视频序列	video sequence
序列码	serial code
差值计算模块	difference calculation module
医学成像	medical imaging
医学成像系统	medical imaging system
医疗诊断	medical diagnosis
扫描指令	scanning instruction
扫描指令	scan instruction
扫描参数	scanning parameters
扫描腔	inspection chamber
扫描床	scanning table
扫描校准序列	scanning calibration sequence
患者数据	patient data
摄像装置	camera device
摄像头	camera
充电接口	charging connector
充电接口或接头	USB port or a charging connector
充电接头	Universal Serial Bus (USB) port
充电孔	charging hole
外部信号	external signal
外侧	outer side
外壳	outer housing
壳体	housing
沿纵长方向延伸	extended along a longitudinal direction
纵长方向	longitudinal direction
延伸	extend
床板	bed board
后端部	rear end
承载	carried
承载部	load-bearing component
容积收发线圈	volume coil
容纳	accommodate
容纳槽	receiving groove
邻近	near
架子	shelf
结算周期	billing period
凹槽	grooves
凹槽	groove
放置接口	placement interface
主成分分析法	principal component analysis
主控计算机	host computer
主密钥	master key
遥控设备	mobile device
驱动信号	drive signal
驱动设备	drive device
驱动转矩	drive torque
倾斜角度	tilt angle
倾角	inclination
倾角芯片	tilt chip
倾角传感器	tilt sensor
角度信号	angle signal
角度参数初始化	angle parameter initialization
角度曲线图	angle graph
远程控制系统	remote control system
远程控制终端设备	remote control terminal device
远程驾驶	long-distance driving
管理指令	management instruction
管理列表	management list
又例如	As another example
又例如，	As another example,
再例如	As a further example
三维	three dimensional
三维渲染图像	3D rendered image
病例报告	case report
病情信息	disease condition information
情景	scenarios
情绪特征	emotional feature
药物过敏	drug allergy information
药物过敏信息	drug allergy information
既往病情	past disease condition
家族病史	family history
家居场景	home scene
家居装置	household device
诊断信息	diagnostic information
诊断结果	diagnostic result
治疗方案	treatment regimen
四维	four dimensional
文本格式处理	text format processing
文字输入设备	text input device
深度学习	卷积层
消息接收终端	recipient
消费清单	consumption list
细粒度移动访问	fine-grained mobile access
撤销身份域	revocation identify domain
杂光	stray light
杂凑函数对	Hash function pair
杂凑函数UCH	Hash function UCH
辅助信息	auxiliary information
辅助参数域	auxiliary parameter domain
簇头	cluster head
匿名	anonymously
界面	interface
屏锁	screen lock
误码	error
比较单元	comparison unit
探测器	detecto
探测器	detector
韦伊配对	Weil pairing
配件仓	accessory bin
随机预言模型	random prediction model
随机数	random number
随机存储设备	random storage device
孔壁	aperture wall
详细描述	Detailed description
零知识交互协议	zero-knowledge interaction protocol
互动信息	interaction information
心电	electrocardio
心电诊断	cardiac diagnosi
心率	heart rate
呼吸频率	respiratory rate
CH公私钥对生成模块	CH public-private key pairs generate module
追踪模块	trace module
简述	SUMMARY
低层成员	low-level members
低功耗运放芯片	low power op amp chip
监测平台	monitoring platform
真实的现实人物形象	real realistic character
真实的历史人物形象	real historical character
真值	true value
挑战者	challenger
领款通知	payment notice
领款回执	payment receipt
满足特定要求的生命体征信号集	set of vital signs signals satisfying specific requirements
整理	sort
逐步稳健回归	stepwise robust regression
回归	regression
归一化	normalization
缓存状态报告	BSR
灵敏度分布	sensitivity distribution
业务	resource
业务类型	resource type of the data to be sent
优先级	priority of
优先权信息	CROSS REFERENCE
超高可靠超低时延通信业务	URLLC recource
复制传输	duplication transmission mode
复位点	reset point
两路	two path
BSR构造模块	BSR determining module
BSR传输模块	BSR transmitting module
圈数	number of cycles
语法分析	grammar analysis
语言库单元	language library unit
语言表达	language representation
语意信息	semantic information
语意信息对比	semantics comparison
语意信息评估	semantic information evaluation;
语意分析	semantic analysis
语意字段	semantic field
语意向量	semantic vector
语意向量库	semantic vector library
语意向量映射	semantic vector mapping
语意识别	semantic recognition
语意识别模块	semantic recognition module;
语意识别结果	semantic recognition result
语音信号	speech signal
语音信号收集装置	voice signal collection device
语音特征	voice feature
语音输入信息	voice input information
语音导航	voice navigation
语音识别	voice recognition
语音识别单元	speech recognition unit
语义判断单元	semantic judgement unit
语义分析	semantic analysis
意图分类器	tent classifier
筛选条件	filter condition
投资行为模型	investment behavior model
投影单元	projection unit
词性分析	part of speech analysis
奖罚措施	Bonus measure
插接件	connector
透光外壳固定座	light transmissive housing fixing base
固定件	fixing component
圆盘部	disk portion
弹性臂	elastic arm
普通车道形态	ordinary lane shape
枪型摄像机支	gun type camera
齿形转接环	toothed adapter ring
垂直镜像	vertical mirroring
垂直镜像指令	vertical mirror instruction
垂直旋转轴	vertical rotation axis
否定指引播报方式	negative guide broadcast manner
肯定指引播报	negative guide broadcast
肯定指引播报方式	positive guide broadcast manner
只读存储设备	read-only storage device,
句式信息	sentence information
框架3	frame
匹配关系	matching relationship
展览馆	exhibition hall
旅游景区	tourist attraction
教育场景	education scene
演出场景	performance scene
购物场景	shopping scene
购买请求	purchase request
购买价格	purchase price
讲解场景	presentation scene
讲解员	instructor
骨折区域	fracture region
骨折数据和	fracture data
骨折位置	fracture position
骨折检测模型	fracture detection model
骨折检测结果	fracture test results
骨折发生位置	fracture occurrence position
骨折症状	fracture symptom
骨骼图像	bone image
骨骼分割模型	bone segmentation model
骨骼掩模	skeleton mask
骨骼掩膜	skeleton mask
假阳性区域	false positive region
肋骨掩膜	rib mask
肋骨曲面重建图像	rib surface reconstruction image
曲率	curvature
极限限位开关	extreme limit switch
美化图	nail beautification map
美甲	manicure
美甲方法	nail art method
美甲图商城APP	manicure shopping APP
美甲设备	manicure device
美甲机	nail art apparatus
美甲打印模块	printing module
美甲打印设备	nail printing device
美甲视频教程	nail video tutorial
登录信息	login information
风速信号	wind speed signal
风景图案	landscape pattern
风景目录	landscape catalog
悬浮图标	floating icon
滑动显示模块	sliding display module
灰度处理模块	grayscale processing module
底面	bottom surface
纹理特征	texture feature
审核	verification
审核通过的通知	passing notifiction
审核通知模块	verification notification module
审核失败结果	failure reslut
审核不通过的结果	failure result
审核时间期限	time period
审核结果	verifying result
售卖网页	sales webpage
售卖网页模块	sales webpage module
售卖费用	sale cost
完成打印通知	finish printing notice
缩略图	thumbnail
浏览记录	browsing history
微控制单元	micro control unit
喷头控制单元	nozzle control unit
喷墨颜色	inkjet color
喷墨信号	inkjet signal
喷墨时间	inkjet time
喷墨头	inkjet head
触摸显示器	touch display
扬声器	speaker
封胶	sealant
硅光电池	silicon photocell
闭环控制	closed loop control
精密运放芯片	precision op amp chip
温漂	temperature drift
太阳光强度	sunlight intensity
太阳能电池	silicon photocell
太阳能电池板	solar panel
跟踪方式	tracking mode
跟踪支架	tracking bracket
跟踪运动	tracking motion
跟踪控制	tracking control
跟踪轨迹曲线	tracking trajectory curve
跟踪效果	tracking effect
凸块	bump
背面布局	back layout
辐射量	radiation amount
辐射强度	radiation dose
聚类分析法	cluster analysis
故障处理	malfunction process
故障处理进度	malfunction processing progress
故障提示	malfunction notification
故障数据	malfunction data
故障时间	malfunction time
故障类型	malfunction type
故障情况	malfunction condition
故障报警阈值	malfunction alarm threshold
突发型故障	burst malfunction
渐变型故障	gradient malfunction
警报信号	alarm signal
警报提示	alarm notification
警报提示灯	alarm light
紫外传感器	ultraviolet sensor
顶面	top surface
4芯户外屏蔽线	four core outdoor shielded cable
负极	negative electrode
半封闭结构	semi-closed structure
夹角	included angle
受光区域	light region
仅作为示例	merely by way of example
用户指甲	user's nails
用户指甲灰度图像	gray image of the user's nail
所述	the
获取模块	obtaining module
获取单元	obtaining unit
模块	module
卷积核	convolution kernel
数据	data
其中	wherein
其特征在于	wherein
参数	parameter
扫描设备	scanning device
外壳体	outer housing
